id,Country,Time,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
GM0003,Appingedam,Total,7370.0,7370.0,7370.0,7370.0,7370.0,7370.0,7370.0,7370.0,7370.0,7370.0,7370.0
GM0003,Appingedam,per Neutral,0.233183387,0.233183387,0.233183387,0.233183387,0.233183387,0.233183387,0.233183387,0.233183387,0.233183387,0.233183387,0.233183387
GM0003,Appingedam,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0005,Bedum,Total,6996.0,6996.0,6996.0,6996.0,6996.0,6996.0,6996.0,6996.0,6996.0,6996.0,6996.0
GM0005,Bedum,per Neutral,0.144694928,0.144694928,0.144694928,0.144694928,0.144694928,0.144694928,0.144694928,0.144694928,0.144694928,0.144694928,0.144694928
GM0005,Bedum,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GM0007,Bellingwedde,Total,5810.0,5810.0,5810.0,5810.0,5810.0,5810.0,5810.0,5810.0,5810.0,5810.0,5810.0
GM0007,Bellingwedde,per Neutral,0.20030349,0.20030349,0.20030349,0.20030349,0.20030349,0.20030349,0.20030349,0.20030349,0.20030349,0.20030349,0.20030349
GM0007,Bellingwedde,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0009,Ten Boer,Total,4865.0,4865.0,4865.0,4865.0,4865.0,4865.0,4865.0,4865.0,4865.0,4865.0,4865.0
GM0009,Ten Boer,per Neutral,0.127919511,0.127919511,0.127919511,0.127919511,0.127919511,0.127919511,0.127919511,0.127919511,0.127919511,0.127919511,0.127919511
GM0009,Ten Boer,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GM0010,Delfzijl,Total,15277.0,15277.0,15277.0,15277.0,15277.0,15277.0,15277.0,15277.0,15277.0,15277.0,15277.0
GM0010,Delfzijl,per Neutral,0.233052345,0.233052345,0.233052345,0.233052345,0.233052345,0.233052345,0.233052345,0.233052345,0.233052345,0.233052345,0.233052345
GM0010,Delfzijl,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0014,Groningen,Total,130796.0,130796.0,130796.0,130796.0,130796.0,130796.0,130796.0,130796.0,130796.0,130796.0,130796.0
GM0014,Groningen,per Neutral,0.175666011,0.175666011,0.175666011,0.175666011,0.175666011,0.175666011,0.175666011,0.175666011,0.175666011,0.175666011,0.175666011
GM0014,Groningen,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0015,Grootegast,Total,7577.0,7577.0,7577.0,7577.0,7577.0,7577.0,7577.0,7577.0,7577.0,7577.0,7577.0
GM0015,Grootegast,per Neutral,0.18800387,0.18800387,0.18800387,0.18800387,0.18800387,0.18800387,0.18800387,0.18800387,0.18800387,0.18800387,0.18800387
GM0015,Grootegast,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GM0017,Haren,Total,13308.0,13308.0,13308.0,13308.0,13308.0,13308.0,13308.0,13308.0,13308.0,13308.0,13308.0
GM0017,Haren,per Neutral,0.109736525,0.109736525,0.109736525,0.109736525,0.109736525,0.109736525,0.109736525,0.109736525,0.109736525,0.109736525,0.109736525
