id,Country,Time,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
GM0003,Appingedam,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0005,Bedum,Biggest Party,2.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0007,Bellingwedde,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,3.0,3.0,3.0,3.0
GM0009,Ten Boer,Biggest Party,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0010,Delfzijl,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0014,Groningen,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,6.0
GM0015,Grootegast,Biggest Party,2.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0017,Haren,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0018,Hoogezand-Sappemeer,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0022,Leek,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0024,Loppersum,Biggest Party,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0025,Marum,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0
GM0034,Almere,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0037,Stadskanaal,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0040,Slochteren,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0047,Veendam,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0048,Vlagtwedde,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,3.0,3.0,3.0
GM0050,Zeewolde,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0053,Winsum,Biggest Party,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0056,Zuidhorn,Biggest Party,2.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0058,Dongeradeel,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0
GM0059,Achtkarspelen,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0060,Ameland,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0063,het Bildt,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0070,Franekeradeel,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0072,Harlingen,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0074,Heerenveen,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0079,Kollumerland en Nieuwkruisland,Biggest Party,2.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0080,Leeuwarden,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0081,Leeuwarderadeel,Biggest Party,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0085,Ooststellingwerf,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0086,Opsterland,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0088,Schiermonnikoog,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0
GM0090,Smallingerland,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0093,Terschelling,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0096,Vlieland,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0098,Weststellingwerf,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0
GM0106,Assen,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0109,Coevorden,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0114,Emmen,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,3.0,3.0
GM0118,Hoogeveen,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,3.0
GM0119,Meppel,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0140,Littenseradiel,Biggest Party,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0141,Almelo,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,3.0
GM0147,Borne,Biggest Party,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0148,Dalfsen,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
GM0150,Deventer,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0153,Enschede,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0158,Haaksbergen,Biggest Party,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0160,Hardenberg,Biggest Party,2.0,2.0,2.0,2.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0
GM0163,Hellendoorn,Biggest Party,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0164,Hengelo,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0166,Kampen,Biggest Party,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,3.0,3.0,3.0
GM0168,Losser,Biggest Party,2.0,2.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0171,Noordoostpolder,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0173,Oldenzaal,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0175,Ommen,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
GM0177,Raalte,Biggest Party,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0
