,WK_CODE,Country,Time,2017,2018,2019
4,WK168000,Wijk 00 Annen,act ind per,0.3491,0.303448,0.257796
5,WK168000,Wijk 00 Annen,act ega per,0.291335,0.26625,0.241164
6,WK168000,Wijk 00 Annen,act col per,0.215571,0.214335,0.213098
7,WK168000,Wijk 00 Annen,act fat per,0.09041439999999999,0.128367,0.16632
10,WK168000,Wijk 00 Annen,biggest party,0.243617,0.21120500000000003,0.178794
11,WK168000,Wijk 00 Annen,biggest party name,1.0,1.0,1.0
20,WK168001,Wijk 01 Eext,act ind per,0.328947,0.284055,0.23916300000000001
21,WK168001,Wijk 01 Eext,act ega per,0.25548200000000004,0.242838,0.230194
22,WK168001,Wijk 01 Eext,act col per,0.239035,0.23087800000000003,0.22271999999999997
23,WK168001,Wijk 01 Eext,act fat per,0.116228,0.131358,0.14648699999999998
26,WK168001,Wijk 01 Eext,biggest party,0.23464899999999997,0.21224200000000001,0.18983599999999998
27,WK168001,Wijk 01 Eext,biggest party name,1.0,1.0,1.0
36,WK168002,Wijk 02 Anloo,act ind per,0.347432,0.347432,0.347432
37,WK168002,Wijk 02 Anloo,act ega per,0.250755,0.250755,0.250755
38,WK168002,Wijk 02 Anloo,act col per,0.256798,0.256798,0.256798
39,WK168002,Wijk 02 Anloo,act fat per,0.114804,0.114804,0.114804
42,WK168002,Wijk 02 Anloo,biggest party,0.253776,0.253776,0.253776
43,WK168002,Wijk 02 Anloo,biggest party name,1.0,1.0,1.0
52,WK168003,Wijk 03 Gasteren,act ind per,0.34821399999999997,0.34821399999999997,0.34821399999999997
53,WK168003,Wijk 03 Gasteren,act ega per,0.291667,0.291667,0.291667
54,WK168003,Wijk 03 Gasteren,act col per,0.22619,0.22619,0.22619
55,WK168003,Wijk 03 Gasteren,act fat per,0.0922619,0.0922619,0.0922619
58,WK168003,Wijk 03 Gasteren,biggest party,0.23809499999999997,0.23809499999999997,0.23809499999999997
59,WK168003,Wijk 03 Gasteren,biggest party name,1.0,1.0,1.0
68,WK168004,Wijk 04 Anderen,act ind per,0.434783,0.434783,0.434783
69,WK168004,Wijk 04 Anderen,act ega per,0.331522,0.331522,0.331522
70,WK168004,Wijk 04 Anderen,act col per,0.14130399999999999,0.14130399999999999,0.14130399999999999
71,WK168004,Wijk 04 Anderen,act fat per,0.0380435,0.0380435,0.0380435
74,WK168004,Wijk 04 Anderen,biggest party,0.326087,0.326087,0.326087
